formula,Family,pred_log10_sigma
Li10Ge(PS6)2,LGPS,-2.173590623112077
Li10Si(PS6)2,LGPS,-2.4968275693396675
Li10Sn(PS6)2,LGPS,-2.6751588698572992
Li20Si3P3S23Cl,LGPS,-4.552291088463881
Li8TiS6,unknown,-4.768583141298061
NaLiZnS2,unknown,-4.880318817938103
LiTbS2,unknown,-4.899209792479606
LiHoS2,unknown,-4.932118593980547
LiErS2,unknown,-4.932118593980547
LiDyS2,unknown,-4.932761148296283
LiSmS2,unknown,-4.993882457697018
Li3SbS3,unknown,-4.9968104763485215
LiBiS2,unknown,-5.275838362935453
LiYS2,unknown,-5.306454793484848
